Team,Home_xG,Home_Goals,Home_xGDiff,Home_Shots,Home_xG_per_Shot,Home_Rating,Away_xG,Away_Goals,Away_xGDiff,Away_Shots,Away_xG_per_Shot,Away_Rating,Avg_xG,Avg_xGA,Total_xGDiff,Goals_Scored_Home,Goals_Scored_Away,Goals_Conceded_Home,Goals_Conceded_Away,Goal_Diff,Home_PPG_Diff,Defenders_Out,Form_Last_5,Goals_Scored_Last_5,Goals_Conceded_Last_5,Motivation,Open_Play_Pct,Set_Piece_Pct,Counter_Attack_Pct,Current_Form,Venue_Stats_Count,Home_Shots_Allowed_pg,Away_Shots_Allowed_pg,Avg_Shots_Allowed_pg,Defensive_Stability_Score,Attack_Effectiveness_Score,Overall_Rating
Girona,18.18,14,-4.18,131,0.14,6.41,14.70,16,1.30,139,0.11,6.45,16.44,16.44,-2.88,8,7,14,16,-15,0.38,7,7,7,5,3,0.50,0.13,0.13,DWDWD,16,16.4,17.4,16.90,1.50,5.50,4.50
Levante,15.36,15,-0.36,122,0.13,6.36,13.64,11,-2.64,135,0.10,6.52,14.50,14.50,-2.64,6,10,15,11,-10,-0.72,4,5,4,13,2,0.50,0.17,0.17,LLLLD,15,20.3,15.0,17.65,1.80,6.50,4.15
Real Oviedo,15.01,10,-5.01,135,0.11,6.53,16.02,16,-0.02,122,0.13,6.33,15.52,15.52,-5.03,2,5,10,16,-19,0.25,3,7,0,4,2,0.50,0.00,0.50,DDDLL,16,16.9,15.3,16.10,1.30,3.50,2.40
Celta Vigo,12.75,11,-1.75,105,0.12,6.48,12.24,7,-5.24,98,0.12,6.67,12.50,12.50,-6.99,9,11,11,7,2,-1.11,0,7,6,7,3,0.78,0.11,0.00,WLLDD,16,11.7,14.0,12.85,4.25,7.50,5.88
Espanyol,11.78,9,-2.78,116,0.10,6.61,8.47,6,-2.47,91,0.09,6.63,10.13,10.13,-5.25,13,7,9,6,5,0.54,0,9,5,5,3,0.46,0.31,0.08,WWLWL,16,12.9,12.9,12.90,5.35,6.50,5.93
Sevilla,11.66,12,0.34,72,0.16,6.64,15.19,12,-3.19,99,0.15,6.53,13.43,13.43,0.15,14,10,12,12,0,0.00,7,9,10,6,3,0.43,0.07,0.29,WLWLW,16,9.0,12.4,10.70,4.65,7.00,5.83
Elche,11.02,5,-6.02,88,0.13,6.72,14.83,15,0.17,117,0.13,6.41,12.93,12.93,-5.85,12,7,5,15,-1,1.62,2,9,8,4,3,0.83,0.00,0.17,WDDDW,16,11.0,14.6,12.80,4.15,5.50,4.83
Mallorca,10.39,8,-2.39,106,0.10,6.59,19.21,15,-4.21,135,0.14,6.48,14.80,14.80,-8.82,10,8,8,15,-5,1.13,0,11,8,4,3,0.90,0.00,0.00,WDWDW,16,13.3,14.8,14.05,2.95,6.00,4.48
Real Betis,10.28,10,-0.28,99,0.10,6.71,10.71,8,-2.71,95,0.11,6.71,10.50,10.50,-2.99,14,11,10,8,7,0.13,1,7,9,8,3,0.71,0.14,0.00,LDWLW,16,12.4,11.9,12.15,5.25,7.50,6.38
Real Sociedad,10.18,13,2.82,85,0.12,6.53,12.27,10,-2.27,113,0.11,6.54,11.23,11.23,-1.77,12,8,13,10,-3,0.50,2,6,8,9,3,0.58,0.17,0.08,LLWWL,16,10.6,14.1,12.35,5.15,6.00,5.58
Deportivo Alaves,9.49,9,-0.49,90,0.11,6.55,9.39,8,-1.39,90,0.10,6.46,9.44,9.44,-1.88,11,3,9,8,-3,0.99,2,7,4,4,3,0.36,0.18,0.09,LWLWD,16,10.0,12.9,11.45,6.30,5.00,5.65
Valencia,8.76,7,-1.76,81,0.11,6.61,15.78,18,2.22,128,0.12,6.37,12.27,12.27,-4.34,10,5,7,18,-10,1.12,0,5,4,6,3,0.50,0.30,0.20,DWDLL,16,9.6,16.0,12.80,4.20,4.50,4.35
Getafe,8.65,5,-3.65,85,0.10,6.54,8.51,11,2.49,76,0.11,6.49,8.58,8.58,4.14,7,6,5,11,-3,0.25,2,6,3,4,3,0.29,0.71,0.00,LWLWL,16,10.6,9.5,10.05,7.45,4.50,5.98
Atletico Madrid,8.53,7,-1.53,79,0.11,6.82,11.76,9,-2.76,99,0.12,6.54,10.15,10.15,0.46,22,8,7,9,14,1.65,3,15,11,2,4,0.64,0.18,0.05,WWWWW,17,8.8,12.4,10.60,6.40,8.50,7.45
Villarreal,8.40,4,-4.40,76,0.11,6.91,10.49,9,-1.49,107,0.10,6.58,9.45,9.45,-5.89,20,11,4,9,18,0.89,5,13,11,3,4,0.65,0.10,0.25,WWWDW,15,9.5,15.3,12.40,5.55,9.50,7.53
Barcelona,8.35,5,-3.35,64,0.13,7.05,16.23,15,-1.23,89,0.18,6.77,12.29,12.29,5.23,28,21,5,15,29,1.00,2,15,15,3,5,0.82,0.04,0.14,WWWWW,17,7.1,11.1,9.10,7.90,9.50,8.70
Osasuna,8.17,8,-0.17,82,0.10,6.69,16.96,12,-4.96,133,0.13,6.42,12.57,12.57,-5.13,11,3,8,12,-6,1.64,1,7,8,8,3,0.36,0.45,0.09,WLLWD,16,11.7,14.8,13.25,3.75,5.00,4.38
Rayo Vallecano,7.49,4,-3.49,81,0.09,6.54,14.98,12,-2.98,107,0.14,6.50,11.24,11.24,-6.47,4,9,4,12,-3,0.03,3,6,2,2,3,0.50,0.50,0.00,DDDWL,16,11.6,11.9,11.75,5.25,4.50,4.88
Athletic Club,7.19,8,0.81,66,0.11,6.55,12.87,13,0.13,95,0.14,6.40,10.03,10.03,-0.32,9,6,8,13,-6,0.90,4,9,4,5,4,0.56,0.11,0.00,WLWLW,17,7.3,11.9,9.60,7.40,4.50,5.95
Real Madrid,6.81,5,-1.81,54,0.13,6.84,15.72,11,-4.72,113,0.14,6.86,11.27,11.27,-6.43,14,20,5,11,18,0.47,3,12,11,4,5,0.57,0.14,0.07,LWWWW,17,7.7,11.3,9.50,7.50,8.50,8.00
