team,venue,goals,games_played,shots_allowed_pg,xg,home_ppg_diff,defenders_out,form_last_5,goals_scored_last_5,goals_conceded_last_5,motivation,open_play_pct,set_piece_pct,counter_attack_pct
Athletic Bilbao,home,9,9,7.3,12.87,0.90,4,,,,,,
Barcelona,home,28,9,7.1,24.35,1.00,,,,,,
Real Madrid,home,14,7,7.7,17.6,0.47,,,,,,
Villarreal,home,20,8,9.5,18.14,0.89,,,,,,
Atletico Madrid,home,22,9,8.8,22.7,1.65,,,,,,
Elche,home,12,8,11,12.09,1.62,,,,,,
Real Betis,home,14,8,12.4,14.74,0.13,,,,,,
Osasuna,home,11,7,11.7,9.48,1.64,,,,,,
Sevilla,home,14,8,9,11.12,0.00,,,,,,
Valencia,home,10,8,9.6,13.19,1.12,,,,,,
Espanyol,home,13,9,12.9,15.71,0.54,,,,,,
Mallorca,home,10,8,13.3,10.22,1.13,,,,,,
Athletic Club,home,9,9,7.3,14.04,0.90,,,,,,
Deportivo Alaves,home,11,9,10,12.78,0.99,,,,,,
Rayo Vallecano,home,4,7,11.6,12.21,0.03,,,,,,
Getafe,home,7,8,10.6,6.65,0.25,,,,,,
Real Oviedo,home,2,8,16.9,7.76,0.25,,,,,,
Real Sociedad,home,12,8,10.6,13.61,0.50,,,,,,
Celta Vigo,home,9,9,11.7,12.05,-1.11,,,,,,
Girona,home,8,8,16.4,10.44,0.38,,,,,,
Levante,home,6,6,20.3,9.1,-0.72,,,,,,
Real Madrid,away,20,10,11.3,23.48,-0.47,,,,,,
Barcelona,away,21,8,11.1,19.32,-1.00,,,,,,
Real Betis,away,11,8,11.9,10.73,-0.13,,,,,,
Celta Vigo,away,11,7,14,9.15,1.11,,,,,,
Espanyol,away,7,7,12.9,8.47,-0.54,1,10,5,2,4,0.46,0.31,0.08
Villarreal,away,11,7,15.3,10.51,-0.89,,,,,,
Atletico Madrid,away,8,8,12.4,9.44,-1.65,,,,,,
Real Sociedad,away,8,8,14.1,10.98,-0.50,,,,,,
Sevilla,away,10,8,12.4,6.74,0.00,,,,,,
Levante,away,10,9,15,13.01,0.72,,,,,,
Rayo Vallecano,away,9,9,11.9,12.29,-0.03,,,,,,
Getafe,away,6,8,9.5,7.04,-0.25,,,,,,
Mallorca,away,8,8,14.8,8.95,-1.13,,,,,,
Deportivo Alaves,away,3,7,12.9,7.6,-0.99,,,,,,
Girona,away,7,8,17.4,8.99,-0.38,,,,,,
Osasuna,away,3,9,14.8,8.75,-1.64,,,,,,
Elche,away,7,8,14.6,6.08,-1.62,,,,,,
Athletic Club,away,6,8,11.9,10.03,-0.90,,,,,,
Valencia,away,5,8,16,7.22,-1.12,,,,,,
Real Oviedo,away,5,8,15.3,7.28,-0.25,,,,,,
